ObjectId,indicator_label,indicator_id,indicator_desc,minset_series,minset_series_desc,ref_area,ref_area_desc,iso3,x,y,sdg_region,time_period,sex,sex_desc,age,age_desc,urbanization,urbanization_desc,obs_value,unit_measure,unit_measure_desc,nature,nature_desc,reporting_type,reporting_type_desc,comment_obs,source_detail,source_year,dimensions,is_latest_year
11,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",528,Netherlands,NLD,5.331480568,51.86728884,Europe and Northern America,2012,F,Female,Y20T74,20 to 74 years old,_T,All areas,5.87,HR,Hours,CA,Country adjusted data,G,Global,"Paid work does not include commuting to/from work;",Calculated by UNSD based on available country data from the Dutch Time Use Survey (TBO) 2011 to apply ICATUS.,2017,"sex, age, urbanization",1
12,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",528,Netherlands,NLD,5.331480568,51.86728884,Europe and Northern America,2012,M,Male,Y20T74,20 to 74 years old,_T,All areas,6.35,HR,Hours,CA,Country adjusted data,G,Global,"Paid work does not include commuting to/from work;",Calculated by UNSD based on available country data from the Dutch Time Use Survey (TBO) 2011 to apply ICATUS.,2017,"sex, age, urbanization",1
13,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",528,Netherlands,NLD,5.331480568,51.86728884,Europe and Northern America,2001,F,Female,Y_GE12,12 years old and over,_T,All areas,5.72,HR,Hours,CA,Country adjusted data,G,Global,"Paid work does not include commuting to/from work;",Calculated by UNSD based on available country data from the Dutch Time Use Survey (TBO) to apply ICATUS.,2017,"sex, age, urbanization",
14,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",528,Netherlands,NLD,5.331480568,51.86728884,Europe and Northern America,2001,M,Male,Y_GE12,12 years old and over,_T,All areas,5.98,HR,Hours,CA,Country adjusted data,G,Global,"Paid work does not include commuting to/from work;",Calculated by UNSD based on available country data from the Dutch Time Use Survey (TBO) to apply ICATUS.,2017,"sex, age, urbanization",
15,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",528,Netherlands,NLD,5.331480568,51.86728884,Europe and Northern America,2006,F,Female,Y20T74,20 to 74 years old,_T,All areas,6.4,HR,Hours,CA,Country adjusted data,G,Global,"Paid work does not include commuting to/from work;",Calculated by UNSD based on available country data from the Dutch Time Use Survey (TBO) to apply ICATUS.,2017,"sex, age, urbanization",
16,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",528,Netherlands,NLD,5.331480568,51.86728884,Europe and Northern America,2006,M,Male,Y20T74,20 to 74 years old,_T,All areas,6.55,HR,Hours,CA,Country adjusted data,G,Global,"Paid work does not include commuting to/from work;",Calculated by UNSD based on available country data from the Dutch Time Use Survey (TBO) to apply ICATUS.,2017,"sex, age, urbanization",
17,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",231,Ethiopia,ETH,39.63505296,8.631223181,Sub-Saharan Africa,2013,F,Female,Y_GE10,10 years old and over,_T,All areas,8.17,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Ethiopian Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",1
18,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",231,Ethiopia,ETH,39.63505296,8.631223181,Sub-Saharan Africa,2013,M,Male,Y_GE10,10 years old and over,_T,All areas,7.1,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Ethiopian Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",1
19,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,F,Female,Y_GE10,10 years old and over,_T,All areas,6.95,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
20,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,M,Male,Y_GE10,10 years old and over,_T,All areas,6,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
21,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,F,Female,Y_GE15,15 years old and over,_T,All areas,7.7,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
22,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,M,Male,Y_GE15,15 years old and over,_T,All areas,6.76,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
23,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,F,Female,Y15T24,15 to 24 years old,_T,All areas,5.9,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
24,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,M,Male,Y15T24,15 to 24 years old,_T,All areas,4.58,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
25,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,F,Female,Y25T44,25 to 44 years old,_T,All areas,8.81,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
26,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,M,Male,Y25T44,25 to 44 years old,_T,All areas,8.25,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
27,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,F,Female,Y45T54,45 to 54 years old,_T,All areas,9.2,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
28,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,M,Male,Y45T54,45 to 54 years old,_T,All areas,8.16,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
29,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,F,Female,Y55T64,55 to 64 years old,_T,All areas,8.06,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
30,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,M,Male,Y55T64,55 to 64 years old,_T,All areas,7.2,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
31,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,F,Female,Y_GE65,65 years old and over,_T,All areas,6.37,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
32,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,M,Male,Y_GE65,65 years old and over,_T,All areas,5.76,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.,2017,"sex, age, urbanization",1
33,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,2005,F,Female,Y_GE15,15 years old and over,_T,All areas,7.3,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the General Social Survey 2005 - Cycle 19- Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",
34,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,2005,M,Male,Y_GE15,15 years old and over,_T,All areas,7.2,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the General Social Survey 2005 - Cycle 19- Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",
35,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,2010,F,Female,Y_GE15,15 years old and over,_T,All areas,7.28,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the General Social Survey 2010 - Cycle 24- Time Use to apply ICATUS.,2017,"sex, age, urbanization",
36,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,2010,M,Male,Y_GE15,15 years old and over,_T,All areas,7.08,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the General Social Survey 2010 - Cycle 24- Time Use to apply ICATUS.,2017,"sex, age, urbanization",
37,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,2016,F,Female,Y_GE15,15 years old and over,_T,All areas,6.4,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the General Social Survey 2015-2016 - Cycle 29 - Time Use to apply ICATUS.,2017,"sex, age, urbanization",1
38,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,2016,M,Male,Y_GE15,15 years old and over,_T,All areas,6.2,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid domestic work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the General Social Survey 2015-2016 - Cycle 29 - Time Use to apply ICATUS.,2017,"sex, age, urbanization",1
39,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",288,Ghana,GHA,-1.205623522,7.964825185,Sub-Saharan Africa,2009,F,Female,Y_GE18,18 years old and over,_T,All areas,8.6,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Ghana Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",1
40,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",288,Ghana,GHA,-1.205623522,7.964825185,Sub-Saharan Africa,2009,M,Male,Y_GE18,18 years old and over,_T,All areas,7.62,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Ghana Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",1
41,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",288,Ghana,GHA,-1.205623522,7.964825185,Sub-Saharan Africa,2009,F,Female,Y_GE10,10 years old and over,_T,All areas,7.5,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Ghana Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",1
42,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",288,Ghana,GHA,-1.205623522,7.964825185,Sub-Saharan Africa,2009,M,Male,Y_GE10,10 years old and over,_T,All areas,5.93,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Ghana Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",1
43,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",56,Belgium,BEL,4.660976456,50.64104975,Europe and Northern America,2013,F,Female,Y_GE12,12 years old and over,_T,All areas,5.78,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Harmonised European Belgian Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",1
44,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",56,Belgium,BEL,4.660976456,50.64104975,Europe and Northern America,2013,M,Male,Y_GE12,12 years old and over,_T,All areas,5.48,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Harmonised European Belgian Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",1
45,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",428,Latvia,LVA,26.42461876,56.64196636,Europe and Northern America,2003,F,Female,Y20T74,20 to 74 years old,_T,All areas,8.45,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the HETUS to apply ICATUS.,2017,"sex, age, urbanization",1
46,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",428,Latvia,LVA,26.42461876,56.64196636,Europe and Northern America,2003,M,Male,Y20T74,20 to 74 years old,_T,All areas,7.98,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the HETUS to apply ICATUS.,2017,"sex, age, urbanization",1
47,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",426,Lesotho,LSO,28.25362195,-29.58041814,Sub-Saharan Africa,2003,F,Female,Y_GE15,15 years old and over,_T,All areas,6.45,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Household Budget Survey (HBS) to apply ICATUS.,2017,"sex, age, urbanization",1
48,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",426,Lesotho,LSO,28.25362195,-29.58041814,Sub-Saharan Africa,2003,M,Male,Y_GE15,15 years old and over,_T,All areas,6.37,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Household Budget Survey (HBS) to apply ICATUS.,2017,"sex, age, urbanization",1
49,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",834,United Republic of Tanzania,TZA,34.80521182,-6.265332606,Sub-Saharan Africa,2006,F,Female,Y_GE05,5 years old and over,_T,All areas,6.95,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Integrated Labour Force Survey - Time Use Survey Module to apply ICATUS.,2017,"sex, age, urbanization",
50,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",834,United Republic of Tanzania,TZA,34.80521182,-6.265332606,Sub-Saharan Africa,2006,M,Male,Y_GE05,5 years old and over,_T,All areas,5.8,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Integrated Labour Force Survey - Time Use Survey Module to apply ICATUS.,2017,"sex, age, urbanization",
51,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",368,Iraq,IRQ,43.76606267,33.05013795,Northern Africa and Western Asia,2007,F,Female,Y_GE10,10 years old and over,_T,All areas,6.25,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Time use survey in Iraq as Module of Iraq Household Socio-Economic Survey - HSES to apply ICATUS.,2017,"sex, age, urbanization",1
52,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",368,Iraq,IRQ,43.76606267,33.05013795,Northern Africa and Western Asia,2007,M,Male,Y_GE10,10 years old and over,_T,All areas,4.9,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Time use survey in Iraq as Module of Iraq Household Socio-Economic Survey - HSES to apply ICATUS.,2017,"sex, age, urbanization",1
53,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",398,Kazakhstan,KAZ,66.65359159,48.01963494,Central and Southern Asia,2000,F,Female,Y20T74,20 to 74 years old,_T,All areas,10.22,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Time use survey in Kazakhstan to apply ICATUS.,2017,"sex, age, urbanization",
54,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",398,Kazakhstan,KAZ,66.65359159,48.01963494,Central and Southern Asia,2000,M,Male,Y20T74,20 to 74 years old,_T,All areas,8.38,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Time use survey in Kazakhstan to apply ICATUS.,2017,"sex, age, urbanization",
55,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",398,Kazakhstan,KAZ,66.65359159,48.01963494,Central and Southern Asia,2003,F,Female,Y20T74,20 to 74 years old,_T,All areas,10.67,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work; Commuting to work includes other travel time;",Calculated by UNSD based on available country data from the Time use survey in Kazakhstan to apply ICATUS.,2017,"sex, age, urbanization",
