ObjectId,indicator_label,indicator_id,indicator_desc,minset_series,minset_series_desc,ref_area,ref_area_desc,iso3,x,y,sdg_region,time_period,sex,sex_desc,obs_value,unit_measure,unit_measure_desc,nature,nature_desc,reporting_type,reporting_type_desc,comment_obs,source_detail,source_year,dimensions,is_latest_year
27,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,512,Oman,OMN,57.87743482,21.98805614,Northern Africa and Western Asia,2016,F,Female,11.06,PT,Percent,C,Country data,G,Global,Age coverage - maximum age: 65 years old,LFS - Labour Force Survey,2021,sex,1
28,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2012,F,Female,11.1,PT,Percent,C,Country data,G,Global,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding armed forces and/or conscripts",LFS - Economically Active Population Survey,2021,sex,
29,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2012,F,Female,11.11,PT,Percent,C,Country data,G,Global,,LFS - Labour Force Survey,2021,sex,
30,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,818,Egypt,EGY,29.77468534,26.57438204,Northern Africa and Western Asia,2007,F,Female,11.11,PT,Percent,C,Country data,G,Global,Data reference period: Incomplete year | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 64 years old,LFS - Labour Force Sample Survey,2021,sex,
31,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2014,F,Female,11.14,PT,Percent,C,Country data,G,Global,,LFS - Economically Active Population Survey,2021,sex,
32,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,422,Lebanon,LBN,35.89391711,33.92152458,Northern Africa and Western Asia,2004,F,Female,11.16,PT,Percent,C,Country data,G,Global,,HIES - Living Conditions Survey,2021,sex,
33,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,275,State of Palestine,PSE,35.25694122,31.94347933,Northern Africa and Western Asia,2004,F,Female,11.17,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,2021,sex,
34,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,747,Northern Africa and Western Asia,,,,Northern Africa and Western Asia,2013,F,Female,11.17,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
35,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2013,F,Female,11.19,PT,Percent,C,Country data,G,Global,,LFS - Labour Force Survey,2021,sex,
36,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,747,Northern Africa and Western Asia,,,,Northern Africa and Western Asia,2006,F,Female,11.2,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
37,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,15,Northern Africa,,,,Northern Africa and Western Asia,2008,F,Female,11.22,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
38,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2014,F,Female,11.27,PT,Percent,C,Country data,G,Global,,LFS - Labour Force Survey,2021,sex,
39,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,145,Western Asia,,,,Northern Africa and Western Asia,2003,F,Female,11.31,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
40,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2013,F,Female,11.37,PT,Percent,C,Country data,G,Global,,LFS - Economically Active Population Survey,2021,sex,
41,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2011,F,Female,11.39,PT,Percent,C,Country data,G,Global,,LFS - Labour Force Survey,2021,sex,
42,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,747,Northern Africa and Western Asia,,,,Northern Africa and Western Asia,2018,F,Female,11.45,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
43,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,145,Western Asia,,,,Northern Africa and Western Asia,2002,F,Female,11.47,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
44,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,747,Northern Africa and Western Asia,,,,Northern Africa and Western Asia,2007,F,Female,11.49,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
45,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,34,Southern Asia,,,,Central and Southern Asia,2010,F,Female,11.54,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
46,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,747,Northern Africa and Western Asia,,,,Northern Africa and Western Asia,2017,F,Female,11.64,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
47,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,34,Southern Asia,,,,Central and Southern Asia,2009,F,Female,11.69,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
48,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,368,Iraq,IRQ,43.76606267,33.05013795,Northern Africa and Western Asia,2007,F,Female,11.75,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,HIES - Household Socio-Economic Survey,2021,sex,
49,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,818,Egypt,EGY,29.77468534,26.57438204,Northern Africa and Western Asia,2008,F,Female,11.77,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,LFS - Labour Force Sample Survey,2021,sex,
50,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,364,Iran (Islamic Republic of),IRN,54.19766348,32.74370885,Central and Southern Asia,2009,F,Female,11.8,PT,Percent,C,Country data,G,Global,Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old,LFS - Labour Force Survey,2021,sex,
51,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,747,Northern Africa and Western Asia,,,,Northern Africa and Western Asia,2019,F,Female,11.8,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,1
52,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,818,Egypt,EGY,29.77468534,26.57438204,Northern Africa and Western Asia,2009,F,Female,14,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Sample Survey,2021,sex,
53,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,196,Cyprus,CYP,33.22285964,35.05659437,Northern Africa and Western Asia,2008,F,Female,16.12,PT,Percent,C,Country data,G,Global,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,2021,sex,
54,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,15,Northern Africa,,,,Northern Africa and Western Asia,2015,F,Female,7.34,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
55,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,586,Pakistan,PAK,68.80479684,29.36491634,Central and Southern Asia,2005,F,Female,2.1,PT,Percent,C,Country data,G,Global,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old,LFS - Labour Force Survey,2021,sex,
56,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,145,Western Asia,,,,Northern Africa and Western Asia,2012,F,Female,14.18,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
57,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,887,Yemen,YEM,45.22389143,15.22242099,Northern Africa and Western Asia,2006,F,Female,2.14,PT,Percent,C,Country data,G,Global,,HIES - Household Income and Expenditure Survey,2021,sex,
58,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,380,Italy,ITA,12.57022427,42.79917282,Europe and Northern America,2000,F,Female,14.32,PT,Percent,C,Country data,G,Global,Repository: Eurostat special tabulation | Unemployment definition: Two criteria (not in employment and seeking),LFS - EU Labour Force Survey,2021,sex,
59,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,792,Turkey,TUR,35.42890329,38.9899684,Northern Africa and Western Asia,2013,F,Female,14.44,PT,Percent,C,Country data,G,Global,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,2021,sex,
60,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2018,F,Female,14.46,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing,LFS - Economically Active Population Survey,2021,sex,
61,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,275,State of Palestine,PSE,35.25694122,31.94347933,Northern Africa and Western Asia,2012,F,Female,14.52,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,2021,sex,
62,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,784,United Arab Emirates,ARE,53.98279159,23.43322219,Northern Africa and Western Asia,2016,F,Female,14.57,PT,Percent,C,Country data,G,Global,Age coverage - maximum age: 65 years old,LFS - Labour Force Survey,2021,sex,
63,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,364,Iran (Islamic Republic of),IRN,54.19766348,32.74370885,Central and Southern Asia,2006,F,Female,14.61,PT,Percent,C,Country data,G,Global,Age coverage - minimum age: 10 years old,LFS - Labour Force Survey,2021,sex,
64,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,364,Iran (Islamic Republic of),IRN,54.19766348,32.74370885,Central and Southern Asia,2010,F,Female,14.61,PT,Percent,C,Country data,G,Global,Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old,LFS - Labour Force Survey,2021,sex,
65,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,356,India,IND,79.3608464,22.34642074,Central and Southern Asia,2019,F,Female,14.62,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year,LFS - Periodic Labour Force Survey,2021,sex,1
66,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,634,Qatar,QAT,51.19152467,25.28355379,Northern Africa and Western Asia,2015,F,Female,14.74,PT,Percent,C,Country data,G,Global,"Data reference period: September | Age coverage - maximum age: 76 years or older, but bounded",LFS - Labor Force Sample Survey,2021,sex,
67,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,50,Bangladesh,BGD,89.17660788,22.86961622,Central and Southern Asia,2010,F,Female,14.75,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,LFS - Labour Force Survey,2021,sex,
68,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,196,Cyprus,CYP,33.22285964,35.05659437,Northern Africa and Western Asia,2005,F,Female,14.76,PT,Percent,C,Country data,G,Global,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,2021,sex,
69,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,788,Tunisia,TUN,9.572737411,34.11439971,Northern Africa and Western Asia,2012,F,Female,14.76,PT,Percent,C,Country data,G,Global,Data reference period: Second quarter,LFS - National Population and Employment Survey,2021,sex,1
70,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,196,Cyprus,CYP,33.22285964,35.05659437,Northern Africa and Western Asia,2000,F,Female,14.78,PT,Percent,C,Country data,G,Global,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,2021,sex,
71,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,466,Mali,MLI,-3.522016039,17.35311254,Sub-Saharan Africa,2017,F,Female,14.8,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing,LFS - Continous Household Employment Survey,2021,sex,
72,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,762,Tajikistan,TJK,69.294998,38.43069666,Central and Southern Asia,2009,F,Female,14.8,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,HIES - Living Standard Survey,2021,sex,1
73,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,792,Turkey,TUR,35.42890329,38.9899684,Northern Africa and Western Asia,2018,F,Female,14.81,PT,Percent,C,Country data,G,Global,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,2021,sex,
74,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2019,F,Female,14.84,PT,Percent,C,Country data,G,Global,Employment definition: Excluding own-use production workers,LFS - Labour Force Survey,2021,sex,1
75,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,442,Luxembourg,LUX,6.092656563,49.77679538,Europe and Northern America,2013,F,Female,14.86,PT,Percent,C,Country data,G,Global,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,2021,sex,
76,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,145,Western Asia,,,,Northern Africa and Western Asia,2015,F,Female,14.89,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
77,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,634,Qatar,QAT,51.19152467,25.28355379,Northern Africa and Western Asia,2016,F,Female,14.91,PT,Percent,C,Country data,G,Global,Data reference period: September,LFS - Labor Force Sample Survey,2021,sex,
78,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2018,F,Female,14.93,PT,Percent,C,Country data,G,Global,Employment definition: Excluding own-use production workers,LFS - Labour Force Survey,2021,sex,
79,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,145,Western Asia,,,,Northern Africa and Western Asia,2014,F,Female,14.94,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
80,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,62,Central and Southern Asia,,,,Central and Southern Asia,2013,F,Female,12.52,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
81,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,818,Egypt,EGY,29.77468534,26.57438204,Northern Africa and Western Asia,2018,F,Female,7.35,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Sample Survey,2021,sex,
